,Date,solo,solo,solo,psp,psp,psp,stereo-a,stereo-a,stereo-a,bepi,bepi,bepi,earth,earth,earth,mars,mars,mars,venus,venus,venus
,-,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
122,2020-06-11 06:00:00,0.30850160962769835,0.4170160767722198,0.0018388011634290493,-0.1179321847471545,-0.1599092734058117,0.004612433969125658,-0.9510421390346032,-0.1594146691704897,-0.0008719091325531917,-0.24722943399053754,-0.9119983496164885,-0.022611859021035744,1.015405944173336,6.225506888952521e-18,4.980405511162017e-17,1.0376855627766797,0.9405133481152766,-0.043307513598811326,0.72418592729998,0.05998032441296616,-0.006491052282540388
123,2020-06-12 06:00:00,0.29256607956081365,0.42685215286226325,0.000977097283903489,-0.09871283233297941,-0.2026783581479231,0.002916555644015475,-0.9479049055347951,-0.17662590725467486,-0.0008362453490436758,-0.23096738164209252,-0.9131738506270367,-0.02280929748475004,1.0155194814434145,1.5563767222381303e-17,0.0,1.0426802032440519,0.9338971493400948,-0.043423466579018,0.7235697880788226,0.06793371274094241,-0.007668089623757826
124,2020-06-13 06:00:00,0.2764102805539641,0.4364315267492059,0.00011335463074485083,-0.07688159367639344,-0.24021365206867323,0.0011417377691054732,-0.9444547875112903,-0.19377884167836096,-0.0008003055228924406,-0.21462358063322814,-0.9140263360053432,-0.02299865506108514,1.015628793481956,1.8676520666857564e-17,0.0,1.047629706333891,0.927276503306327,-0.043534605922828866,0.7228621339591821,0.07587729029810761,-0.00883912204721065
125,2020-06-14 06:00:00,0.2600522916940555,0.44573845754931657,-0.0007505901608853994,-0.053595755524052706,-0.2733086879234818,-0.0006561164347223099,-0.9406928355640692,-0.21086779255481275,-0.0007641014400115964,-0.19820307524735217,-0.9145523552575862,-0.02317978588961803,1.0157336079370858,9.338260333428782e-18,0.0,1.0525347070707702,0.9206514338107155,-0.043640905936467016,0.7220630989584117,0.08381009649575881,-0.01000324673519849
126,2020-06-15 06:00:00,0.24351154937967814,0.4547587955818943,-0.0016128960524139843,-0.02955443602608365,-0.3026495620691118,-0.0024460715567876956,-0.9366202031265275,-0.22788709774741386,-0.0007276449796565741,-0.18171102758126287,-0.9147484662274789,-0.023352543139972703,1.0158336627968207,6.225506888952521e-18,4.980405511162017e-17,1.0573958013106806,0.9140219881706461,-0.043742346962417925,0.7211728285179398,0.09173120071351883,-0.011159570581029248
127,2020-06-16 06:00:00,0.22680868692584946,0.4634801249729446,-0.0024717360384068857,-0.0051893725606109884,-0.3287966985943039,-0.004210899183175001,-0.9322381462102586,-0.24483111472156677,-0.0006909481106851808,-0.16515272154427518,-0.9146112370467653,-0.02351677902569516,1.0159287077102925,-1.5563767222381303e-17,-4.980405511162017e-17,1.0622135490073656,0.9073882355921202,-0.04383891523061643,0.7201914781112032,0.0996397003069192,-0.012307210625028058
128,2020-06-17 06:00:00,0.2099652312381338,0.4718918700219493,-0.003325238617685602,0.019226686490456522,-0.35220107883386514,-0.005941045076443101,-0.9275480231164813,-0.2616942223947034,-0.0006540228877987002,-0.14853356695919867,-0.9141372482704598,-0.023672344822171076,1.0160185056353288,-1.5563767222381303e-18,-4.980405511162017e-17,1.0669884755143282,0.9007502676509201,-0.04393060286959382,0.7191192117534563,0.1075347200646024,-0.013445294593800844
129,2020-06-18 06:00:00,0.19300354672751815,0.4799854018534798,-0.00417159648088284,0.04351808249376359,-0.37322594624837707,-0.007631354620391379,-0.9225512941148433,-0.2784708229838879,-0.0006168814477201171,-0.1318591037647283,-0.9133230952081517,-0.023819090888891586,1.0161028359592215,1.5563767222381303e-18,4.980405511162017e-17,1.0717210716259695,0.8941082002330829,-0.04401740801839125,0.7179562003777727,0.11541541261810229,-0.014572961498241131
130,2020-06-19 06:00:00,0.17594656572041478,0.48775408907695744,-0.005009045886509722,0.0675700825071595,-0.3921660089102162,-0.00927924915436642,-0.917249521088872,-0.2951553438503505,-0.000579536005354635,-0.11513500631887234,-0.9121653904633608,-0.023956866696401433,1.0161814998625585,-7.781883611190652e-19,-4.980405511162017e-17,1.0764117933557227,0.8874621758552607,-0.04409933492360945,0.7167026201318435,0.12328095904334338,-0.015689362209992657
131,2020-06-20 06:00:00,0.15881756834833127,0.4951933233223636,-0.005835879920221764,0.09130715642774508,-0.4092626916221681,-0.010883681540916955,-0.9116443671484691,-0.31174223934043355,-0.0005419988499249068,-0.098367087801927,-0.9106607666936218,-0.024085520858281865,1.0162543282052963,-1.1672825416785977e-18,4.980405511162017e-17,1.081061062639857,0.8808123649445484,-0.0441763938630506,0.7153586507543797,0.13113056870276601,-0.01679365991151103
132,2020-06-21 06:00:00,0.14163996346715163,0.5023005123027922,-0.006650460600056351,0.11467956044368026,-0.42471581791699564,-0.012444522128449062,-0.9057375962089813,-0.3282259926223456,-0.0005042823410509574,-0.08156130471744513,-0.9088058796046805,-0.02420490116854538,1.0163211915792303,1.945470902797663e-19,0.0,1.0856692701846264,0.8741589644855297,-0.044248600718434394,0.7139244742903845,0.13896347730984496,-0.01788503030758126
133,2020-06-22 06:00:00,0.12443707655095163,0.50907504167777,-0.007451229615437569,0.13765483196442804,-0.4386924660132107,-0.013962189395499336,-0.8995310725371841,-0.3446011175181188,-0.0004663989048044074,-0.06472376148884003,-0.9065974111929376,-0.024314854644843367,1.0163820114447004,-3.890941805595326e-18,0.0,1.0902367814465928,0.8675021925795153,-0.044315976040587686,0.7124002744693082,0.14677894234163016,-0.01896266150589546
